dataset,seed,fold,method,pcc,rmse,mae,n_test,selected_alpha,inner_pcc
CCLE,6,2,imputer_only,0.68894036081306,0.7428245931992451,0.5455687326878395,1136,,
CCLE,6,2,ridge_only,0.6902369546773507,0.741656768652037,0.5488040405641225,1136,,
CCLE,6,2,fixed_fusion,0.6941131207372093,0.737857932369859,0.5431527287279531,1136,,
CCLE,6,2,adaptive_fusion,0.693644270717752,0.7383261892652938,0.5446229348963243,1136,0.3,0.7100974765321557
CCLE,6,3,imputer_only,0.720098662478897,0.7260336411805497,0.5093443182052743,1136,,
CCLE,6,3,ridge_only,0.71328073349365,0.7337321912470979,0.5133419109706793,1136,,
CCLE,6,3,fixed_fusion,0.7214072420677078,0.7244323302483219,0.5056294602182904,1136,,
CCLE,6,3,adaptive_fusion,0.7192766394076159,0.726856579331449,0.5073469101552176,1136,0.3,0.7020217556436287
CCLE,6,4,imputer_only,0.747761797405183,0.6443725423511439,0.477851337238949,1136,,
CCLE,6,4,ridge_only,0.7393564197336782,0.6543314082274981,0.4879418656720946,1136,,
CCLE,6,4,fixed_fusion,0.7483184111643479,0.643445570296589,0.4774250399415495,1136,,
CCLE,6,4,adaptive_fusion,0.7458522527338839,0.646401282732963,0.4805429525126463,1136,0.3,0.6904534811561857
CCLE,6,5,imputer_only,0.708587615852612,0.6945701129031293,0.506327725300688,1136,,
CCLE,6,5,ridge_only,0.7141141669934947,0.6887920362776513,0.5068233079458698,1136,,
CCLE,6,5,fixed_fusion,0.7159769989080954,0.6865398576465174,0.5016463746121741,1136,,
CCLE,6,5,adaptive_fusion,0.716354102563441,0.6862021526926614,0.5027361994229785,1136,0.3,0.6971045585275049
CCLE,6,6,imputer_only,0.725528989093513,0.6462164509236811,0.4836771437801129,1136,,
CCLE,6,6,ridge_only,0.7203960321669205,0.6499767963629786,0.489180191904331,1136,,
CCLE,6,6,fixed_fusion,0.7282913906716527,0.6420451356849552,0.4810573911615303,1136,,
CCLE,6,6,adaptive_fusion,0.72644794378362,0.6437752031521743,0.4832653883907331,1136,0.3,0.7017620108607019
CCLE,6,7,imputer_only,0.7482098710928767,0.6663203093290955,0.4843155047909047,1136,,
CCLE,6,7,ridge_only,0.7489244291144787,0.6659556349025758,0.4823247942663905,1136,,
CCLE,6,7,fixed_fusion,0.7527299005783844,0.6607147082550412,0.4793712817026203,1136,,
CCLE,6,7,adaptive_fusion,0.7521925974663106,0.661511980241519,0.4795274852518739,1136,0.3,0.6886452263739476
CCLE,6,8,imputer_only,0.7369991809513295,0.7109589370035764,0.4962871035584382,1136,,
CCLE,6,8,ridge_only,0.7277730087310615,0.7219444670134533,0.5105337340571591,1136,,
CCLE,6,8,fixed_fusion,0.736785202009952,0.7110930930470432,0.4981352889662701,1136,,
CCLE,6,8,adaptive_fusion,0.7356611696541758,0.7124146996350439,0.4996994796462312,1136,0.4,0.6949007604384381
