dataset,seed,fold,selected_alpha,inner_pcc
ERKAUC30,3,10,0.3,0.6135026722507446
ERKAUC30,4,1,0.3,0.6152711860326079
ERKAUC30,4,2,0.3,0.6209929998850967
ERKAUC30,4,3,0.3,0.5963137041439402
ERKAUC30,4,4,0.3,0.6110322932384062
ERKAUC30,4,5,0.3,0.6201502003314531
ERKAUC30,4,6,0.3,0.6235292381851152
ERKAUC30,4,7,0.3,0.613078962856481
ERKAUC30,4,8,0.4,0.6264452745608577
ERKAUC30,4,9,0.3,0.6142360023943603
ERKAUC30,4,10,0.3,0.6232408832997604
ERKAUC30,5,1,0.2,0.6072120027609643
ERKAUC30,5,2,0.3,0.6162096688178508
ERKAUC30,5,3,0.3,0.6225318118641916
ERKAUC30,5,4,0.3,0.6198194149706407
ERKAUC30,5,5,0.3,0.610317770555957
ERKAUC30,5,6,0.3,0.6021577707922174
ERKAUC30,5,7,0.3,0.6161076860258909
ERKAUC30,5,8,0.3,0.6148941107841692
ERKAUC30,5,9,0.3,0.6251265711550589
ERKAUC30,5,10,0.3,0.6050846931105338
ERKAUC30,6,1,0.3,0.6120808192572978
ERKAUC30,6,2,0.3,0.6151653429392225
ERKAUC30,6,3,0.3,0.6210010731767347
ERKAUC30,6,4,0.3,0.6117964258098916
ERKAUC30,6,5,0.3,0.6136374363758207
ERKAUC30,6,6,0.3,0.613342975239388
ERKAUC30,6,7,0.3,0.6094700292788083
ERKAUC30,6,8,0.3,0.6154783239847635
ERKAUC30,6,9,0.3,0.6236500364345323
ERKAUC30,6,10,0.3,0.6199845704022195
ERKAUC30,7,1,0.3,0.610658108620743
ERKAUC30,7,2,0.3,0.6131931821789433
ERKAUC30,7,3,0.3,0.624618884303875
ERKAUC30,7,4,0.3,0.607600053660175
ERKAUC30,7,5,0.3,0.6273742115160709
ERKAUC30,7,6,0.2,0.6121205786670831
ERKAUC30,7,7,0.3,0.6326844798978084
ERKAUC30,7,8,0.3,0.5968995092068428
ERKAUC30,7,9,0.3,0.6115766704810529
ERKAUC30,7,10,0.3,0.602500096474276
ERKAUC30,8,1,0.3,0.6037885519232462
ERKAUC30,8,2,0.3,0.6132668524976397
ERKAUC30,8,3,0.3,0.6162035498291327
ERKAUC30,8,4,0.3,0.6163943665630222
ERKAUC30,8,5,0.3,0.6168882888974901
