dataset,seed,adaptive_fusion,fixed_fusion,imputer_only,ridge_only,delta_pcc
CCLE,0,0.7333464024624732,0.7343934979956086,0.7307509887016822,0.728937874605278,-0.0010470955331354226
CCLE,1,0.7246821232286477,0.7264768056850298,0.7246191179474513,0.7189076926212995,-0.0017946824563821462
CCLE,2,0.7259713091607642,0.726781220061612,0.7227706380163749,0.7215961833538385,-0.00080991090084781
CCLE,3,0.7296349025911626,0.7310994651725705,0.7283036256674976,0.7247134186788374,-0.0014645625814079244
CCLE,4,0.7282826926909413,0.7295084788220145,0.7267290225028105,0.7231674995720035,-0.0012257861310732698
CCLE,5,0.727551644271849,0.7290740125306475,0.7263694966024067,0.7223733169081455,-0.0015223682587984788
CCLE,6,0.7263716865270862,0.7276602123693734,0.7247441242171339,0.7213012990571562,-0.0012885258422872248
CCLE,7,0.7299574463941728,0.730965148081797,0.727064200565573,0.7254553130607119,-0.0010077016876242073
CCLE,8,0.7293183358112253,0.7307312257975209,0.7277015708577453,0.7247013708802691,-0.001412889986295629
CCLE,9,0.730585407213426,0.7318422128118871,0.7288373358951368,0.7256488638318439,-0.001256805598461086
ERKAUC30,0,0.6716728894180466,0.6710312703290177,0.6540411105608789,0.6655111794059237,0.000641619089028933
ERKAUC30,1,0.6673564606785585,0.6668102672457129,0.6501679890907307,0.6610412322944287,0.0005461934328455653
ERKAUC30,2,0.6646292464492792,0.6647107877619263,0.6487195016851948,0.6581192778079163,-8.154131264703768e-05
ERKAUC30,3,0.6735378360514078,0.6724884764560317,0.6550697743062618,0.6675883185906192,0.0010493595953761092
ERKAUC30,4,0.6707823226540369,0.6699800169009018,0.6521549386633437,0.6654599263724089,0.000802305753135113
ERKAUC30,5,0.6717077472939313,0.6698931133377712,0.6505778735980244,0.6670830296764211,0.0018146339561601055
ERKAUC30,6,0.6749083750270578,0.6744600974684439,0.658541171366147,0.6681277458781805,0.0004482775586138743
ERKAUC30,7,0.668148333630827,0.6688484740979866,0.6549046218062917,0.6604695620690939,-0.0007001404671596045
ERKAUC30,8,0.6661228432953548,0.665760244985068,0.6494936635530607,0.6589342689830409,0.0003625983102867325
ERKAUC30,9,0.6737261310443733,0.6729562428990852,0.6565940455350522,0.6676860415173383,0.0007698881452881112
ERKIC50,0,0.6412422356320276,0.6428827654116157,0.6336886354191535,0.6370490570880493,-0.0016405297795880625
ERKIC50,1,0.6456546357203014,0.6475812465595728,0.6388414091486332,0.6412938260118215,-0.001926610839271481
ERKIC50,2,0.647694736787586,0.6492122939595097,0.640159516033678,0.6430867745369396,-0.0015175571719237002
ERKIC50,3,0.6506528632052822,0.6522174190091707,0.6424062776355501,0.6463966226481784,-0.0015645558038885898
ERKIC50,4,0.6541543089179164,0.656342518610737,0.6483936676938584,0.6493120217278429,-0.0021882096928206307
ERKIC50,5,0.6520151015393303,0.654120687616328,0.6458364218747642,0.6473787298985193,-0.002105586076997734
ERKIC50,6,0.6498101339927433,0.652476950568274,0.6447978779597978,0.6448432084654904,-0.002666816575530695
ERKIC50,7,0.6517203538793489,0.6543519551185667,0.6464378759049216,0.6467818253352541,-0.0026316012392177957
ERKIC50,8,0.6438658871539477,0.6457181013726174,0.63660591625662,0.639456359652352,-0.0018522142186697677
ERKIC50,9,0.6435388504597446,0.6464465441334549,0.6395294304640485,0.6376845121421891,-0.0029076936737103543
PI3KAUC,0,0.6164790508925387,0.6155125354141099,0.597805307766561,0.6121153276647221,0.0009665154784288532
PI3KAUC,1,0.6198595509130086,0.6221312290133494,0.6091259569041346,0.6136349585784551,-0.0022716781003407904
PI3KAUC,2,0.6099005936861263,0.6091375933025146,0.5909074002782775,0.6062117923991167,0.0007630003836116561
PI3KAUC,3,0.6204770944359013,0.6181605649394505,0.5967283313250263,0.6168524570222101,0.002316529496450781
PI3KAUC,4,0.618407052466304,0.6164194016592899,0.5972452849796421,0.6145213707922352,0.0019876508070141297
PI3KAUC,5,0.6196699789939495,0.6200471373690348,0.6038850346679854,0.6145456746442247,-0.0003771583750853402
PI3KAUC,6,0.6136472716070068,0.6140632513172587,0.5978024326325004,0.6083798141987942,-0.0004159797102518681
PI3KAUC,7,0.6109838110738119,0.6100125464354007,0.5922049545149208,0.6069745070517166,0.00097126463841124
PI3KAUC,8,0.6144302190544325,0.6147251607616496,0.5985065245519615,0.6094878819687066,-0.0002949417072171112
PI3KAUC,9,0.6178375345019096,0.618010108398551,0.6018238144643582,0.6130419167284101,-0.00017257389664138145
PI3KIC50,0,0.6178121648445691,0.6181226489508824,0.6019992410164695,0.612874618592749,-0.00031048410631329126
PI3KIC50,1,0.6199660380924504,0.6188063983140403,0.598266868970812,0.6169615736309116,0.0011596397784101597
PI3KIC50,2,0.6154473771473531,0.6152975814758989,0.5977270140292722,0.610468045727361,0.00014979567145423367
PI3KIC50,3,0.6115331330316751,0.6116239785513446,0.5944093402075927,0.6067581508164108,-9.084551966953569e-05
PI3KIC50,4,0.6171944049657362,0.6166524951935366,0.5982484558311512,0.6133005941569784,0.0005419097721995891
PI3KIC50,5,0.6126354487628984,0.6127166489028785,0.5951396930885313,0.6073293583430459,-8.120013998003106e-05
PI3KIC50,6,0.6128442856723151,0.6120764407659612,0.5944531345518055,0.6085028206938093,0.0007678449063538428
PI3KIC50,7,0.612913555274035,0.6124264181858626,0.5948191434101783,0.607912313919913,0.00048713708817238466
PI3KIC50,8,0.613181463276033,0.6120316585014638,0.5939731811024639,0.6090914319913163,0.001149804774569163
PI3KIC50,9,0.6201659203985942,0.6199072043158048,0.6028516939088915,0.6155785078577675,0.00025871608278937863
PRISM19Q4_independent,0,0.6958305050551347,0.6986486932607319,0.6999669331660356,0.6737809148672194,-0.002818188205597205
PRISM19Q4_independent,1,0.6960208757907141,0.6988154180005323,0.6999980227327285,0.6740461924738332,-0.0027945422098181183
PRISM19Q4_independent,2,0.6987135348012818,0.6987135348012818,0.7000670114038048,0.6737427961847532,0.0
PRISM19Q4_independent,3,0.698676764053601,0.698676764053601,0.700021968582891,0.6737183723914905,0.0
PRISM19Q4_independent,4,0.6957161337185196,0.698573346203526,0.7000349192576529,0.6734787708805512,-0.0028572124850063663
PRISM19Q4_independent,5,0.6958526004853999,0.6986713482117402,0.6999921442766667,0.6737971485254322,-0.002818747726340276
PRISM19Q4_independent,6,0.6957698933437753,0.6985961658447561,0.6999216167591517,0.673656803206105,-0.0028262725009808864
PRISM19Q4_independent,7,0.698596293164442,0.698596293164442,0.6999392439665464,0.6736415686494523,0.0
PRISM19Q4_independent,8,0.6986575893485166,0.6986575893485166,0.6999873015333073,0.6736840983969614,0.0
PRISM19Q4_independent,9,0.698715819649763,0.698715819649763,0.699988569404714,0.6738207822197476,0.0
