dataset,seed,fold,alpha,mean_pcc,mean_rmse,mean_mae,selected
CCLE,0,1,0.0,0.6833466740952419,0.730468259153743,0.5363487150595387,False
CCLE,0,1,0.1,0.6862625177333033,0.7275428064311844,0.5336080692545976,False
CCLE,0,1,0.2,0.6880900039532426,0.7258198652582428,0.531958265228425,False
CCLE,0,1,0.3,0.6888399413466832,0.7253077927183105,0.5313640566053204,True
CCLE,0,1,0.4,0.6885379049209832,0.7260088789815489,0.5319024566080246,False
CCLE,0,1,0.5,0.6872229855427945,0.7279192971045683,0.5335638473827568,False
CCLE,0,1,0.6000000000000001,0.684946096049647,0.7310292072976674,0.5361578240481369,False
CCLE,0,1,0.7000000000000001,0.6817679597597408,0.735323009078171,0.539727278788829,False
CCLE,0,1,0.8,0.6777569179065446,0.7407797263832123,0.5442634600693382,False
CCLE,0,1,0.9,0.6729866893547272,0.7473735039369714,0.5498410088911975,False
CCLE,0,1,1.0,0.6675342011877403,0.7550741885305028,0.5563992383571584,False
CCLE,0,2,0.0,0.6898726735928673,0.7294686431087024,0.5355175009652409,False
CCLE,0,2,0.1,0.6927290471146996,0.7265840885497316,0.5332683266003608,False
CCLE,0,2,0.2,0.6944970006920448,0.7249267842443535,0.5320896946228508,False
CCLE,0,2,0.3,0.6951934128328506,0.7245043975659521,0.532142737197407,True
CCLE,0,2,0.4,0.6948492447285257,0.7253181969859395,0.5331982941389362,False
CCLE,0,2,0.5,0.693508030334602,0.7273630453193457,0.535185690125178,False
CCLE,0,2,0.6000000000000001,0.6912240142421093,0.7306275597421554,0.538171121372025,False
CCLE,0,2,0.7000000000000001,0.6880600694949482,0.7350944271819689,0.5421498559640346,False
CCLE,0,2,0.8,0.6840855261782395,0.7407408550210703,0.5471361177911983,False
CCLE,0,2,0.9,0.6793740289415471,0.7475391306229987,0.5529464761752296,False
CCLE,0,2,1.0,0.6740015210892205,0.7554572594342075,0.559430410059106,False
CCLE,0,3,0.0,0.688588227925525,0.7244294423573338,0.5344685617891674,False
CCLE,0,3,0.1,0.6916133465967472,0.7213719668617106,0.5316578061810374,False
CCLE,0,3,0.2,0.6935925273990364,0.7194661208292435,0.5297605839191416,False
CCLE,0,3,0.3,0.6945365544515246,0.7187203793210853,0.5288513671390584,True
CCLE,0,3,0.4,0.6944698937916365,0.7191375578481733,0.5289549799781564,False
CCLE,0,3,0.5,0.6934294627328954,0.7207147648637592,0.5300337388586762,False
CCLE,0,3,0.6000000000000001,0.6914630129774182,0.7234434956770477,0.5320788497252557,False
CCLE,0,3,0.7000000000000001,0.688627248501499,0.7273098609881063,0.53504764924627,False
CCLE,0,3,0.8,0.6849858046220232,0.7322949358656602,0.5389679375334531,False
CCLE,0,3,0.9,0.6806072075110497,0.7383752091656849,0.543869937169472,False
CCLE,0,3,1.0,0.6755629167243756,0.7455231095599615,0.5496947644980962,False
CCLE,0,4,0.0,0.6897023378872944,0.7253231306202229,0.5350721030686045,False
CCLE,0,4,0.1,0.6921841553418039,0.7229248425629133,0.5326953509090185,False
CCLE,0,4,0.2,0.6936107494741002,0.7217097248338294,0.5312928436067244,False
CCLE,0,4,0.3,0.6939989009203881,0.7216836957804805,0.5307483531945028,True
CCLE,0,4,0.4,0.6933786630214671,0.722846784093448,0.5310664584106101,False
CCLE,0,4,0.5,0.691792012491642,0.7251931306007003,0.532316252609667,False
CCLE,0,4,0.6000000000000001,0.6892911604947052,0.7287111353925264,0.5345805467792856,False
CCLE,0,4,0.7000000000000001,0.6859366392870625,0.7333837417240634,0.5379636877176701,False
CCLE,0,4,0.8,0.681795282280623,0.739188840719426,0.5423430305974027,False
CCLE,0,4,0.9,0.6769382075612966,0.7460997750658916,0.5476260862147242,False
CCLE,0,4,1.0,0.6714388990530631,0.7540859160996239,0.5539227218525662,False
CCLE,0,5,0.0,0.6841224831767189,0.7327421217689951,0.5361865328230884,False
CCLE,0,5,0.1,0.686468443031053,0.7304358852715545,0.5339886905899377,False
CCLE,0,5,0.2,0.6876986058756777,0.7293591482118165,0.5328024923411588,False
CCLE,0,5,0.3,0.6878253680719035,0.7295170944562775,0.5328865853066616,True
CCLE,0,5,0.4,0.6868768221092416,0.7309084337293732,0.5340056156783655,False
CCLE,0,5,0.5,0.6848953359301296,0.7335254476728047,0.5362586747032048,False
CCLE,0,5,0.6000000000000001,0.6819356549240437,0.7373542074428472,0.5394810348336518,False
CCLE,0,5,0.7000000000000001,0.6780626754599524,0.742374948368479,0.5436187353596051,False
CCLE,0,5,0.8,0.6733490468022472,0.7485625780592404,0.5486894433743151,False
CCLE,0,5,0.9,0.6678727499833323,0.7558872878856604,0.5546082715430016,False
CCLE,0,5,1.0,0.661714781447994,0.7643152344147814,0.5613746578878801,False
CCLE,0,6,0.0,0.6965078049501456,0.7230657997506305,0.5299226721143666,False
CCLE,0,6,0.1,0.6999807376768177,0.7195386873645757,0.5271431675053946,False
CCLE,0,6,0.2,0.7023850915863901,0.7171873329051774,0.5254232935081866,False
CCLE,0,6,0.3,0.7037356215879023,0.7160233137828079,0.5247202808588682,False
CCLE,0,6,0.4,0.704060397439871,0.7160523776221286,0.5250744894179019,True
CCLE,0,6,0.5,0.7033994794410676,0.7172743009603793,0.5264207687843134,False
CCLE,0,6,0.6000000000000001,0.7018032609305186,0.7196828970810659,0.5287656422754664,False
CCLE,0,6,0.7000000000000001,0.6993305891648093,0.7232661723820857,0.5320535973128483,False
CCLE,0,6,0.8,0.6960467786719408,0.728006622108134,0.5363349342237285,False
CCLE,0,6,0.9,0.692021623802083,0.7338816486667804,0.541560881717321,False
CCLE,0,6,1.0,0.6873275021976415,0.7408640798203457,0.5476754658635015,False
CCLE,0,7,0.0,0.6901782287836004,0.7255464487080145,0.5338604466657626,False
CCLE,0,7,0.1,0.6926932020133917,0.723132717612031,0.5315916728644605,False
CCLE,0,7,0.2,0.6940891084440016,0.7219491269259775,0.5304618140700004,False
CCLE,0,7,0.3,0.6943923159864556,0.7220012610830483,0.530419666141448,True
CCLE,0,7,0.4,0.6936434412936379,0.723288266163088,0.5314078315590471,False
CCLE,0,7,0.5,0.6918954567679257,0.7258028842962293,0.5334906409350542,False
CCLE,0,7,0.6000000000000001,0.6892114867208339,0.7295316543177834,0.5367043907892162,False
CCLE,0,7,0.7000000000000001,0.6856624439203491,0.734455265994568,0.5409818475132145,False
CCLE,0,7,0.8,0.6813246489732027,0.7405490465536306,0.5461728107532929,False
CCLE,0,7,0.9,0.6762775547677173,0.7477835518923074,0.552240013305149,False
CCLE,0,7,1.0,0.670601670940129,0.756125231202252,0.5591154462414182,False
CCLE,0,8,0.0,0.6925991968955308,0.7280129896712058,0.5357481720290471,False
CCLE,0,8,0.1,0.6954526295516162,0.7251038924467232,0.5331141006728234,False
CCLE,0,8,0.2,0.6971667204080891,0.7234915153055168,0.5316551054792066,False
CCLE,0,8,0.3,0.6977566844684235,0.7231838975638427,0.5313492675291182,True
CCLE,0,8,0.4,0.6972541893757174,0.7241815196043575,0.5320617705947676,False
CCLE,0,8,0.5,0.6957057313635433,0.7264773222945837,0.533856501744834,False
CCLE,0,8,0.6000000000000001,0.6931704833936344,0.7300569551736062,0.5366993919699066,False
