dataset,metric,mean,sd,ci_low,ci_high,n
CCLE,prediction_pearson,0.9747552691130235,0.00041903188342175556,0.9744555117613884,0.9750550264646585,10
CCLE,prediction_spearman,0.9667943618870257,0.0003771534429911653,0.9665245625669647,0.9670641612070867,10
CCLE,error_pearson,0.96914256254168,0.00039797565168835363,0.9688578679108295,0.9694272571725304,10
CCLE,error_spearman,0.9557507133898259,0.0006515650488771703,0.955284611832411,0.9562168149472408,10
CCLE,imputer_better_share,0.5082218309859154,0.003818434284993229,0.5054902876500829,0.510953374321748,10
CCLE,ridge_better_share,0.4917693661971832,0.003824078484814038,0.4890337852440301,0.4945049471503363,10
CCLE,tie_share,8.802816901408451e-06,2.783695123387658e-05,-1.1110538405405803e-05,2.8716172208222706e-05,10
CCLE,fusion_delta_pcc_vs_imputer,0.003064215835424944,0.000640747611697892,0.0026058526064013216,0.0035225790644485664,10
CCLE,fusion_delta_pcc_vs_ridge,0.006172944675867787,0.0006901816970555994,0.005679218432492312,0.006666670919243262,10
CCLE,fusion_rmse_gain_vs_imputer,0.0035730113300630473,0.0007598975277808888,0.003029413385721522,0.004116609274404572,10
CCLE,fusion_rmse_gain_vs_ridge,0.007099503989020118,0.0007334945756885764,0.0065747935787963075,0.007624214399243928,10
CCLE,fusion_mae_gain_vs_imputer,0.002947796553785381,0.000594875137900538,0.0025222485156874653,0.003373344591883297,10
CCLE,fusion_mae_gain_vs_ridge,0.006699554501510258,0.0005579228774886094,0.006300440518089895,0.007098668484930621,10
ERKAUC30,prediction_pearson,0.932369217181875,0.0012519783496634637,0.9314736058232954,0.9332648285404547,10
ERKAUC30,prediction_spearman,0.9115725456114377,0.0016138520555755388,0.9104180653982383,0.9127270258246372,10
ERKAUC30,error_pearson,0.9296093013517011,0.0010813449734526281,0.928835753757186,0.9303828489462161,10
ERKAUC30,error_spearman,0.8992717206496907,0.0020303419537860243,0.897819301511532,0.9007241397878495,10
ERKAUC30,imputer_better_share,0.48325766955564725,0.0060383370655505975,0.4789381034351203,0.4875772356761742,10
ERKAUC30,ridge_better_share,0.5167423304443528,0.006038337065550578,0.5124227643238258,0.5210618965648798,10
ERKAUC30,tie_share,0.0,0.0,0.0,0.0,10
ERKAUC30,fusion_delta_pcc_vs_imputer,0.01666743013169595,0.001402751010650812,0.01566396250884477,0.01767089775454713,10
ERKAUC30,fusion_delta_pcc_vs_ridge,0.005691840888657385,0.0014997701540506146,0.004618969951562081,0.006764711825752688,10
ERKAUC30,fusion_rmse_gain_vs_imputer,0.02303723690146754,0.0015956834479151356,0.021895753727230162,0.024178720075704915,10
ERKAUC30,fusion_rmse_gain_vs_ridge,0.003926242838871874,0.0014599686792555727,0.002881844161639724,0.004970641516104024,10
ERKAUC30,fusion_mae_gain_vs_imputer,0.018610114284207467,0.001285663792781864,0.0176904058112618,0.019529822757153134,10
ERKAUC30,fusion_mae_gain_vs_ridge,0.0026262372065533057,0.0011137267225628546,0.0018295251041842077,0.003422949308922404,10
ERKIC50,prediction_pearson,0.9532154533022925,0.0008629747434306641,0.9525981183598858,0.9538327882446992,10
ERKIC50,prediction_spearman,0.94797828308839,0.0010833250198005722,0.9472033190540458,0.9487532471227343,10
ERKIC50,error_pearson,0.9583464928553104,0.0007451872153403673,0.9578134180345624,0.9588795676760583,10
ERKIC50,error_spearman,0.9502857237080529,0.001018371954987306,0.9495572242971878,0.9510142231189179,10
ERKIC50,imputer_better_share,0.49906753869066894,0.0023314430506057517,0.4973997248034996,0.5007353525778383,10
ERKIC50,ridge_better_share,0.5009259858835718,0.0023313131549007903,0.4992582649181921,0.5025937068489515,10
ERKIC50,tie_share,6.47542575924367e-06,2.0477094218535125e-05,-8.173005004559343e-06,2.1123856523046683e-05,10
ERKIC50,fusion_delta_pcc_vs_imputer,0.008465345396882162,0.000869215191090983,0.007843546307145252,0.009087144486619072,10
ERKIC50,fusion_delta_pcc_vs_ridge,0.006806754485321054,0.0009483189741834582,0.006128367958059139,0.007485141012582969,10
