reference,comparator,delta_pcc,delta_pcc_ci_low,delta_pcc_ci_high,delta_rmse,delta_rmse_ci_low,delta_rmse_ci_high,delta_mae,delta_mae_ci_low,delta_mae_ci_high
mfmr_base,imputer_only,-0.0013227863222585734,-0.006775990635282272,0.004257229625548541,-0.0002493319169598468,-0.0012730845902035911,0.0007008196855119867,-0.00016075259276046583,-0.0010564274970860782,0.0007284258256683087
mfmr_base,mfmr_mutation,0.007512444682438502,0.0026926719589740996,0.01248769175061242,0.0009529821519106696,0.00012504335610104695,0.001846095482139915,0.0012005881192142104,0.0003857206992696701,0.00202679323481471
mfmr_base,original_mclrp,0.5924848672349587,0.5058100078167708,0.6590616262471005,0.5710329190805653,0.547307580977646,0.5950504541058618,0.5864705783911626,0.5610499078454606,0.6124236608362871
mfmr_base,ridge_only,0.024916002999673115,0.01570836187618842,0.03565457948079287,0.0035117701142527297,0.002079172115547826,0.005204715317834414,0.002774559106784688,0.0016568764079721598,0.004091251773375291
