method,overall_pcc_mean,overall_pcc_std,rmse_mean,rmse_std,mae_mean,mae_std
original_mclrp,0.10618690957360095,0.0,0.6750805201840377,0.0,0.6592262073101324,0.0
imputer_only,0.6999917731083498,4.320732841926079e-05,0.10379869357507206,6.511973305333032e-06,0.07259498387246206,4.426845101759537e-06
ridge_only,0.6737367447795546,0.00014665350896699,0.10756155147658002,1.811682642425976e-05,0.07553220734690988,1.4866908986433957e-05
mfmr_base,0.6986664972538892,7.141438523663028e-05,0.10404827846770526,9.614336996261215e-06,0.07275573575996667,6.819004430374642e-06
mfmr_mutation,0.6907394328390686,0.0004783258689081233,0.1050608576398139,6.929047434403742e-05,0.07401328112510655,5.59984373823768e-05
