dataset,mask_ratio,seed,method,pcc,rmse,mae,n_train,n_test
ERKAUC30,0.1,0,original_mclrp,0.6510883268394686,0.8752011165736167,0.6471517196911213,13084,1454
ERKAUC30,0.1,0,mfmr_base,0.6767840371981341,0.6963744352685036,0.4830539193250331,13084,1454
ERKAUC30,0.1,1,original_mclrp,0.629387732032831,0.9540626585624596,0.6533813954276756,13084,1454
ERKAUC30,0.1,1,mfmr_base,0.6690783322347356,0.746101112250653,0.5140315412293589,13084,1454
ERKAUC30,0.1,2,original_mclrp,0.6641197059893822,0.9157811820529314,0.6446749619088985,13084,1454
ERKAUC30,0.1,2,mfmr_base,0.6909857143155615,0.7088639700940563,0.4864667753300353,13084,1454
ERKAUC30,0.1,3,original_mclrp,0.6517715851395696,0.9330329004245574,0.6578359968430819,13084,1454
ERKAUC30,0.1,3,mfmr_base,0.6923539580781966,0.7135124142906222,0.4978423733570458,13084,1454
ERKAUC30,0.1,4,original_mclrp,0.6105829073612289,0.9145406784005914,0.6529694756475378,13084,1454
ERKAUC30,0.1,4,mfmr_base,0.6488802553136507,0.7362853362379962,0.5016618933913136,13084,1454
ERKAUC30,0.1,5,original_mclrp,0.6420634816328965,0.9742124498376514,0.6705869960116072,13084,1454
ERKAUC30,0.1,5,mfmr_base,0.6561052282789542,0.7750636363033141,0.5061332621236387,13084,1454
ERKAUC30,0.1,6,original_mclrp,0.6548728295729653,0.916834661144361,0.6504350126857161,13084,1454
ERKAUC30,0.1,6,mfmr_base,0.7015792791812042,0.6904485549699321,0.4839487370727148,13084,1454
ERKAUC30,0.1,7,original_mclrp,0.6195655702743585,0.9559591338090684,0.6582133162300546,13084,1454
ERKAUC30,0.1,7,mfmr_base,0.6640894734028552,0.7488699417557415,0.4770700266988524,13084,1454
ERKAUC30,0.1,8,original_mclrp,0.6627124283357643,0.901538096131388,0.6528504966922015,13084,1454
ERKAUC30,0.1,8,mfmr_base,0.6916314903728715,0.6938523910354507,0.492383235253482,13084,1454
ERKAUC30,0.1,9,original_mclrp,0.6313347571909708,0.9349186751938344,0.6722616232968058,13084,1454
ERKAUC30,0.1,9,mfmr_base,0.6736719963209972,0.7332301033295844,0.505705523326299,13084,1454
ERKAUC30,0.15,0,original_mclrp,0.6213167980819717,0.9068552583052768,0.6616922467313888,12357,2181
ERKAUC30,0.15,0,mfmr_base,0.6721539230798824,0.7129620785571126,0.5015509581636731,12357,2181
ERKAUC30,0.15,1,original_mclrp,0.6318166674136476,0.9643002652952892,0.674095666025746,12357,2181
ERKAUC30,0.15,1,mfmr_base,0.676687191552865,0.7437730613243834,0.5156743529401683,12357,2181
ERKAUC30,0.15,2,original_mclrp,0.6362759468540596,0.9057716246523652,0.6433366121239511,12357,2181
ERKAUC30,0.15,2,mfmr_base,0.6518659183175637,0.735369068532032,0.5055241928122965,12357,2181
ERKAUC30,0.15,3,original_mclrp,0.5979069906448851,0.9355386959129136,0.6642062709555707,12357,2181
ERKAUC30,0.15,3,mfmr_base,0.6333885186582554,0.7669227021941858,0.5198019963323463,12357,2181
ERKAUC30,0.15,4,original_mclrp,0.5930281390477139,0.9056311706275058,0.6512956628605362,12357,2181
ERKAUC30,0.15,4,mfmr_base,0.6352723292866864,0.745139468167963,0.5166610751379728,12357,2181
ERKAUC30,0.15,5,original_mclrp,0.6159476597034608,0.9692345955528496,0.6689185443081372,12357,2181
ERKAUC30,0.15,5,mfmr_base,0.6220573686743159,0.8009771549007512,0.533101571548662,12357,2181
ERKAUC30,0.15,6,original_mclrp,0.6292604437685019,0.907925959133298,0.6475050013312806,12357,2181
ERKAUC30,0.15,6,mfmr_base,0.6626831084120611,0.7195746210207716,0.507970787954898,12357,2181
ERKAUC30,0.15,7,original_mclrp,0.6196093192765719,0.9713915054245086,0.6846276613704521,12357,2181
ERKAUC30,0.15,7,mfmr_base,0.6640025411623973,0.75862670597451,0.5012972951096295,12357,2181
ERKAUC30,0.15,8,original_mclrp,0.6313593517661255,0.9276799101815932,0.6626961624516556,12357,2181
ERKAUC30,0.15,8,mfmr_base,0.6599603818058124,0.7341976098311086,0.5097686863464425,12357,2181
ERKAUC30,0.15,9,original_mclrp,0.6038061888080565,0.974538591572604,0.675663888321802,12357,2181
ERKAUC30,0.15,9,mfmr_base,0.644009952410084,0.7845449678362109,0.5235125884477078,12357,2181
ERKAUC30,0.2,0,original_mclrp,0.5920079903367765,0.9232490718958576,0.6712310865232408,11630,2908
ERKAUC30,0.2,0,mfmr_base,0.6372249516407023,0.7553488284667133,0.5335104112723976,11630,2908
ERKAUC30,0.2,1,original_mclrp,0.6145681073634914,0.9572772295972238,0.6745353645435003,11630,2908
ERKAUC30,0.2,1,mfmr_base,0.6545456926394477,0.758006544176062,0.5275140779092388,11630,2908
ERKAUC30,0.2,2,original_mclrp,0.6220722804411924,0.9069628513872372,0.644095433174962,11630,2908
ERKAUC30,0.2,2,mfmr_base,0.6375231109751649,0.7517918758478328,0.5189349937760396,11630,2908
ERKAUC30,0.2,3,original_mclrp,0.5938933073455157,0.921645891006312,0.6607938278805584,11630,2908
ERKAUC30,0.2,3,mfmr_base,0.6229943181627917,0.7681357694621682,0.5297019562969313,11630,2908
ERKAUC30,0.2,4,original_mclrp,0.567736460270372,0.935896705555746,0.6646870951891798,11630,2908
